generator,fixture,seed,options,verified,distinct,adjacency,deviation,compactness,circulation,stacking,t_gen,t_realise
treemap,three_rooms,0,1,1,1,1.0,0.179,0.9281,0.0,0.0,0.0,0.329
treemap,three_rooms,1,1,1,1,1.0,0.1668,0.9273,0.0,0.0,0.0,0.137
treemap,three_rooms,2,1,1,1,1.0,0.1764,0.928,0.0,0.0,0.0,0.136
treemap,three_rooms,3,1,1,1,1.0,0.161,0.9265,0.0,0.0,0.0,0.136
treemap,three_rooms,4,1,1,1,1.0,0.1753,0.928,0.0,0.0,0.0,0.137
treemap,eight_rooms_corridor,0,1,1,1,0.3333,0.2977,0.8242,0.2483,0.0,0.0,0.394
treemap,eight_rooms_corridor,1,1,1,1,0.3333,0.3035,0.8259,0.2483,0.0,0.0,0.386
treemap,eight_rooms_corridor,2,1,1,1,0.3333,0.3101,0.8274,0.2483,0.0,0.0,0.391
treemap,eight_rooms_corridor,3,1,1,1,0.3333,0.2995,0.8247,0.2483,0.0,0.0,0.393
treemap,eight_rooms_corridor,4,1,1,1,0.3333,0.3374,0.83,0.2483,0.0,0.0,0.391
beam,three_rooms,0,8,8,7,1.0,0.0,0.8549,0.0,0.0,0.099,1.673
beam,three_rooms,1,8,8,8,1.0,0.0,0.8514,0.0,0.0,0.037,1.721
beam,three_rooms,2,8,8,6,1.0,0.0,0.8663,0.0,0.0,0.037,1.68
beam,three_rooms,3,8,8,8,1.0,0.0,0.8439,0.0,0.0,0.037,1.806
beam,three_rooms,4,8,8,8,1.0,0.0,0.8624,0.0,0.0,0.037,1.757
beam,eight_rooms_corridor,0,8,8,8,1.0,0.0071,0.7291,0.2956,0.0,2.466,4.204
beam,eight_rooms_corridor,1,8,8,8,1.0,0.0028,0.7396,0.2669,0.0,2.468,4.148
beam,eight_rooms_corridor,2,8,8,8,1.0,0.0,0.7431,0.2483,0.0,2.528,4.299
beam,eight_rooms_corridor,3,8,8,8,1.0,0.0107,0.7249,0.3199,0.0,2.643,4.023
beam,eight_rooms_corridor,4,8,8,8,1.0,0.0145,0.7626,0.2553,0.0,2.533,3.948
