generator,fixture,seed,options,verified,distinct,adjacency,deviation,compactness,circulation,stacking,vertical,envelope_fit,daylight,t_gen,t_realise
treemap,three_rooms,0,1,1,1,1.0,0.1016,0.9281,0.0,0.0,1.0,0.0,1.0,0.0,0.187
treemap,three_rooms,1,1,1,1,1.0,0.0678,0.9273,0.0,0.0,1.0,0.0,1.0,0.0,0.138
treemap,three_rooms,2,1,1,1,1.0,0.0943,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.137
treemap,three_rooms,3,1,1,1,1.0,0.0511,0.9265,0.0,0.0,1.0,0.0,1.0,0.0,0.137
treemap,three_rooms,4,1,1,1,1.0,0.0913,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.136
treemap,eight_rooms_corridor,0,1,1,1,0.3333,0.1463,0.8242,0.2483,0.0,1.0,0.0,1.0,0.0,0.39
treemap,eight_rooms_corridor,1,1,1,1,0.3333,0.1493,0.8259,0.2483,0.0,1.0,0.0,1.0,0.0,0.389
treemap,eight_rooms_corridor,2,1,1,1,0.3333,0.1526,0.8274,0.2483,0.0,1.0,0.0,1.0,0.0,0.39
treemap,eight_rooms_corridor,3,1,1,1,0.3333,0.1473,0.8247,0.2483,0.0,1.0,0.0,1.0,0.0,0.392
treemap,eight_rooms_corridor,4,1,1,1,0.3333,0.2007,0.83,0.2483,0.0,1.0,0.0,1.0,0.0,0.39
treemap,two_levels_stair,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597
treemap,two_levels_stair,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594
treemap,two_levels_stair,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595
treemap,two_levels_stair,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595
treemap,two_levels_stair,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597
beam,three_rooms,0,8,8,8,1.0,0.0,0.8624,0.0,0.0,1.0,0.0,1.0,0.032,1.405
beam,three_rooms,1,8,8,8,1.0,0.0,0.8624,0.0,0.0,1.0,0.0,1.0,0.028,1.396
beam,three_rooms,2,8,8,7,1.0,0.0,0.87,0.0,0.0,1.0,0.0,1.0,0.028,1.429
beam,three_rooms,3,8,8,8,1.0,0.0,0.8663,0.0,0.0,1.0,0.0,1.0,0.029,1.399
beam,three_rooms,4,8,8,8,1.0,0.0,0.8549,0.0,0.0,1.0,0.0,1.0,0.028,1.465
beam,eight_rooms_corridor,0,8,8,8,1.0,0.0023,0.7865,0.2638,0.0,1.0,0.0,1.0,0.215,3.591
beam,eight_rooms_corridor,1,8,8,6,1.0,0.0,0.7941,0.2483,0.0,1.0,0.0,1.0,0.2,3.623
beam,eight_rooms_corridor,2,8,8,8,1.0,0.0031,0.7932,0.269,0.0,1.0,0.0,1.0,0.218,3.826
beam,eight_rooms_corridor,3,8,8,8,1.0,0.0,0.7941,0.2483,0.0,1.0,0.0,1.0,0.207,3.631
beam,eight_rooms_corridor,4,8,8,5,1.0,0.0,0.7859,0.2483,0.0,1.0,0.0,1.0,0.22,3.725
beam,two_levels_stair,0,8,8,8,1.0,0.0,0.8988,0.882,0.7713,1.0,0.2991,1.0,0.426,5.671
beam,two_levels_stair,1,8,8,8,1.0,0.0,0.7986,0.882,0.6652,1.0,0.2991,1.0,0.398,5.563
beam,two_levels_stair,2,8,8,8,1.0,0.0,0.891,0.882,0.7967,1.0,0.2991,1.0,0.399,5.451
beam,two_levels_stair,3,8,8,8,1.0,0.0,0.8506,0.882,0.7374,1.0,0.2991,1.0,0.376,5.35
beam,two_levels_stair,4,8,8,8,1.0,0.0,0.7978,0.882,0.6452,1.0,0.2991,1.0,0.342,5.578
cpsat,three_rooms,0,8,8,8,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.156,1.378
cpsat,three_rooms,1,8,8,8,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.147,1.391
cpsat,three_rooms,2,8,8,8,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.146,1.347
cpsat,three_rooms,3,8,8,8,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.158,1.449
cpsat,three_rooms,4,8,8,8,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.149,1.389
cpsat,eight_rooms_corridor,0,8,8,8,1.0,0.0,0.8094,0.2483,0.0,1.0,0.0,1.0,11.884,3.45
cpsat,eight_rooms_corridor,1,8,8,8,1.0,0.0,0.8146,0.2483,0.0,1.0,0.0,1.0,5.531,3.373
cpsat,eight_rooms_corridor,2,8,8,8,1.0,0.0,0.8094,0.2483,0.0,1.0,0.0,1.0,8.129,3.425
cpsat,eight_rooms_corridor,3,8,8,8,1.0,0.0,0.8146,0.2483,0.0,1.0,0.0,1.0,8.313,3.435
cpsat,eight_rooms_corridor,4,8,8,8,1.0,0.0,0.8129,0.2483,0.0,1.0,0.0,1.0,7.557,3.436
cpsat,two_levels_stair,0,8,8,8,1.0,0.0,0.8542,0.882,0.8348,1.0,0.2991,1.0,3.245,5.874
cpsat,two_levels_stair,1,8,8,8,1.0,0.0,0.8577,0.882,0.9124,1.0,0.2991,1.0,6.741,5.481
cpsat,two_levels_stair,2,8,8,8,1.0,0.0,0.8556,0.882,0.8571,1.0,0.2991,1.0,4.64,5.583
cpsat,two_levels_stair,3,8,8,8,1.0,0.0,0.8557,0.882,0.8301,1.0,0.2991,1.0,5.088,5.683
cpsat,two_levels_stair,4,8,8,8,1.0,0.0,0.8606,0.882,0.833,1.0,0.2991,1.0,4.592,5.623
