generator,fixture,seed,options,verified,distinct,distinct_topologies,adjacency,deviation,compactness,circulation,stacking,vertical,envelope_fit,daylight,t_gen,t_realise
treemap,three_rooms,0,1,1,1,1,1.0,0.1016,0.9281,0.0,0.0,1.0,0.0,1.0,0.0,0.205
treemap,three_rooms,1,1,1,1,1,1.0,0.0678,0.9273,0.0,0.0,1.0,0.0,1.0,0.0,0.139
treemap,three_rooms,2,1,1,1,1,1.0,0.0943,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.141
treemap,three_rooms,3,1,1,1,1,1.0,0.0511,0.9265,0.0,0.0,1.0,0.0,1.0,0.0,0.142
treemap,three_rooms,4,1,1,1,1,1.0,0.0913,0.928,0.0,0.0,1.0,0.0,1.0,0.0,0.142
treemap,eight_rooms_corridor,0,1,1,1,1,0.3333,0.1463,0.8242,0.2483,0.0,1.0,0.0,1.0,0.0,0.41
treemap,eight_rooms_corridor,1,1,1,1,1,0.3333,0.1493,0.8259,0.2483,0.0,1.0,0.0,1.0,0.0,0.41
treemap,eight_rooms_corridor,2,1,1,1,1,0.3333,0.1526,0.8274,0.2483,0.0,1.0,0.0,1.0,0.0,0.42
treemap,eight_rooms_corridor,3,1,1,1,1,0.3333,0.1473,0.8247,0.2483,0.0,1.0,0.0,1.0,0.0,1.612
treemap,eight_rooms_corridor,4,1,1,1,1,0.3333,0.2007,0.83,0.2483,0.0,1.0,0.0,1.0,0.0,0.73
treemap,clinic,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506
treemap,clinic,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494
treemap,clinic,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498
treemap,clinic,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517
treemap,clinic,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522
beam,three_rooms,0,8,8,8,3,1.0,0.0,0.8624,0.0,0.0,1.0,0.0,1.0,0.029,1.395
beam,three_rooms,1,8,8,8,3,1.0,0.0,0.8624,0.0,0.0,1.0,0.0,1.0,0.026,1.415
beam,three_rooms,2,8,8,7,3,1.0,0.0,0.87,0.0,0.0,1.0,0.0,1.0,0.027,1.421
beam,three_rooms,3,8,8,8,3,1.0,0.0,0.8663,0.0,0.0,1.0,0.0,1.0,0.026,1.473
beam,three_rooms,4,8,8,8,3,1.0,0.0,0.8549,0.0,0.0,1.0,0.0,1.0,0.027,1.463
beam,eight_rooms_corridor,0,8,8,8,3,1.0,0.0023,0.7865,0.2638,0.0,1.0,0.0,1.0,0.229,3.612
beam,eight_rooms_corridor,1,8,8,7,5,1.0,0.0015,0.7995,0.2586,0.0,1.0,0.0,1.0,0.224,3.6
beam,eight_rooms_corridor,2,8,8,8,4,1.0,0.0031,0.7932,0.269,0.0,1.0,0.0,1.0,0.236,3.82
beam,eight_rooms_corridor,3,8,8,8,4,1.0,0.0,0.7925,0.2483,0.0,1.0,0.0,1.0,0.219,3.597
beam,eight_rooms_corridor,4,8,8,5,4,1.0,0.0,0.7992,0.2483,0.0,1.0,0.0,1.0,0.224,3.708
beam,two_levels_stair,0,8,8,8,8,1.0,0.0,0.9006,0.6433,0.7692,1.0,0.2991,1.0,0.456,6.039
beam,two_levels_stair,1,8,8,8,8,1.0,0.0,0.7145,0.6433,0.4904,1.0,0.2991,1.0,0.481,5.879
beam,two_levels_stair,2,8,8,8,8,1.0,0.0,0.8894,0.6433,0.794,1.0,0.2991,1.0,0.569,5.905
beam,two_levels_stair,3,8,8,8,7,1.0,0.0,0.701,0.6433,0.5245,1.0,0.2991,1.0,0.469,6.505
beam,two_levels_stair,4,8,8,8,6,1.0,0.0,0.7321,0.6433,0.4808,1.0,0.2991,1.0,0.574,6.763
beam,clinic,0,8,8,8,1,1.0,0.0,0.7747,0.2593,0.0,1.0,0.5667,1.0,0.38,6.102
beam,clinic,1,8,8,8,4,1.0,0.0065,0.7552,0.3148,0.0,1.0,0.5917,1.0,0.357,6.026
beam,clinic,2,8,8,8,3,1.0,0.0043,0.7393,0.2963,0.0,1.0,0.5833,1.0,0.268,5.481
beam,clinic,3,8,8,8,4,1.0,0.0043,0.7579,0.2963,0.0,1.0,0.5833,1.0,0.359,5.496
beam,clinic,4,8,8,8,4,1.0,0.0049,0.7148,0.3009,0.0,1.0,0.5854,1.0,0.36,6.304
cpsat,three_rooms,0,8,8,8,4,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.156,1.44
cpsat,three_rooms,1,8,8,8,4,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.149,1.355
cpsat,three_rooms,2,8,8,8,4,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.176,1.368
cpsat,three_rooms,3,8,8,8,3,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.125,1.41
cpsat,three_rooms,4,8,8,8,4,1.0,0.0,0.8891,0.0,0.0,1.0,0.0,1.0,0.144,1.362
cpsat,eight_rooms_corridor,0,8,8,8,5,1.0,0.0,0.8077,0.2483,0.0,1.0,0.0,1.0,9.899,3.556
cpsat,eight_rooms_corridor,1,8,8,8,5,1.0,0.0,0.8129,0.2483,0.0,1.0,0.0,1.0,12.876,3.466
cpsat,eight_rooms_corridor,2,8,8,8,4,1.0,0.0,0.8112,0.2483,0.0,1.0,0.0,1.0,9.854,3.496
cpsat,eight_rooms_corridor,3,8,8,8,4,1.0,0.0,0.8146,0.2483,0.0,1.0,0.0,1.0,8.946,3.538
cpsat,eight_rooms_corridor,4,8,8,8,4,1.0,0.0,0.8112,0.2483,0.0,1.0,0.0,1.0,8.871,3.439
cpsat,two_levels_stair,0,8,8,8,8,1.0,0.0,0.8178,0.6433,1.0,1.0,0.2991,1.0,10.012,6.061
cpsat,two_levels_stair,1,8,8,8,8,1.0,0.0,0.8431,0.6433,1.0,1.0,0.2991,1.0,11.198,5.609
cpsat,two_levels_stair,2,8,8,8,8,1.0,0.0,0.8202,0.6433,1.0,1.0,0.2991,1.0,10.853,5.848
cpsat,two_levels_stair,3,8,8,8,8,1.0,0.0,0.8048,0.6433,1.0,1.0,0.2991,1.0,11.361,6.163
cpsat,two_levels_stair,4,8,8,8,8,1.0,0.0,0.8182,0.6433,1.0,1.0,0.2991,1.0,11.027,5.981
cpsat,clinic,0,7,7,7,6,1.0,0.0,0.7389,0.2593,0.0,1.0,0.5667,1.0,21.222,5.335
cpsat,clinic,1,7,7,7,7,1.0,0.0,0.7509,0.2593,0.0,1.0,0.5667,1.0,21.244,5.132
cpsat,clinic,2,7,7,7,7,1.0,0.0,0.7465,0.2593,0.0,1.0,0.5667,1.0,21.223,5.041
cpsat,clinic,3,7,7,7,7,1.0,0.0,0.7385,0.2593,0.0,1.0,0.5667,1.0,21.27,5.389
cpsat,clinic,4,7,7,7,7,1.0,0.0,0.7368,0.2593,0.0,1.0,0.5667,1.0,21.262,5.692
dual,three_rooms,0,1,1,1,1,1.0,0.0311,0.9212,0.0,0.0,1.0,0.0,1.0,17.935,0.149
dual,three_rooms,1,1,1,1,1,1.0,0.0311,0.9212,0.0,0.0,1.0,0.0,1.0,19.148,0.157
dual,three_rooms,2,1,1,1,1,1.0,0.0311,0.9212,0.0,0.0,1.0,0.0,1.0,17.246,0.155
dual,three_rooms,3,1,1,1,1,1.0,0.0311,0.9212,0.0,0.0,1.0,0.0,1.0,18.059,0.149
dual,three_rooms,4,1,1,1,1,1.0,0.0311,0.9212,0.0,0.0,1.0,0.0,1.0,19.613,0.149
dual,eight_rooms_corridor,0,8,8,8,8,1.0,0.0105,0.7972,0.2635,0.0,1.0,0.0,1.0,18.862,4.134
